0.002000	1.001000
0.003000	1.002000
0.004000	1.003000
0.005000	1.004000
0.006000	1.005000
0.007000	1.006000
0.008000	1.007000
0.009000	1.008000
0.010000	1.009000
0.011000	1.010000
0.012000	1.011000
0.013000	1.011999
0.014000	1.012999
0.015000	1.013999
0.016000	1.014999
0.017000	1.015999
0.018000	1.016998
0.019000	1.017998
0.020000	1.018998
0.021000	1.019997
0.022000	1.020997
0.023000	1.021996
0.024000	1.022996
0.025000	1.023995
0.026000	1.024995
0.027000	1.025994
0.028000	1.026993
0.029000	1.027993
0.030000	1.028992
0.031000	1.029991
0.032000	1.030990
0.033000	1.031989
0.034000	1.032988
0.035000	1.033987
0.036000	1.034985
0.037000	1.035984
0.038000	1.036983
0.039000	1.037981
0.040000	1.038980
0.041000	1.039978
0.042000	1.040977
0.043000	1.041975
0.044000	1.042973
0.045000	1.043971
0.046000	1.044969
0.047000	1.045967
0.048000	1.046965
0.049000	1.047962
0.050000	1.048960
0.051000	1.049957
0.052000	1.050955
0.053000	1.051952
0.054000	1.052949
0.055000	1.053946
0.056000	1.054943
0.057000	1.055940
0.058000	1.056937
0.059000	1.057933
0.060000	1.058929
0.061000	1.059926
0.062000	1.060922
0.063000	1.061918
0.064000	1.062914
0.065000	1.063910
0.066000	1.064905
0.067000	1.065901
0.068000	1.066896
0.069000	1.067891
0.070000	1.068887
0.071000	1.069882
0.072000	1.070876
0.073000	1.071871
0.074000	1.072865
0.075000	1.073860
0.076000	1.074854
0.077000	1.075848
0.078000	1.076842
0.079000	1.077836
0.080000	1.078829
0.081000	1.079822
0.082000	1.080816
0.083000	1.081809
0.084000	1.082801
0.085000	1.083794
0.086000	1.084786
0.087000	1.085779
0.088000	1.086771
0.089000	1.087763
0.090000	1.088754
0.091000	1.089746
0.092000	1.090737
0.093000	1.091728
0.094000	1.092719
0.095000	1.093710
0.096000	1.094700
0.097000	1.095691
0.098000	1.096681
0.099000	1.097671
0.100000	1.098660
0.101000	1.099650
0.102000	1.100639
0.103000	1.101628
0.104000	1.102617
0.105000	1.103605
0.106000	1.104594
0.107000	1.105582
0.108000	1.106569
0.109000	1.107557
0.110000	1.108544
0.111000	1.109531
0.112000	1.110518
0.113000	1.111505
0.114000	1.112491
0.115000	1.113477
0.116000	1.114463
0.117000	1.115449
0.118000	1.116434
0.119000	1.117419
0.120000	1.118404
0.121000	1.119389
0.122000	1.120373
0.123000	1.121357
0.124000	1.122341
0.125000	1.123324
0.126000	1.124307
0.127000	1.125290
0.128000	1.126273
0.129000	1.127255
0.130000	1.128237
0.131000	1.129219
0.132000	1.130200
0.133000	1.131181
0.134000	1.132162
0.135000	1.133143
0.136000	1.134123
0.137000	1.135103
0.138000	1.136083
0.139000	1.137062
0.140000	1.138041
0.141000	1.139020
0.142000	1.139998
0.143000	1.140976
0.144000	1.141954
0.145000	1.142931
0.146000	1.143908
0.147000	1.144885
0.148000	1.145861
0.149000	1.146837
0.150000	1.147813
0.151000	1.148788
0.152000	1.149763
0.153000	1.150738
0.154000	1.151712
0.155000	1.152686
0.156000	1.153660
0.157000	1.154633
0.158000	1.155606
0.159000	1.156578
0.160000	1.157550
0.161000	1.158522
0.162000	1.159493
0.163000	1.160464
0.164000	1.161435
0.165000	1.162405
0.166000	1.163375
0.167000	1.164345
0.168000	1.165314
0.169000	1.166282
0.170000	1.167251
0.171000	1.168219
0.172000	1.169186
0.173000	1.170153
0.174000	1.171120
0.175000	1.172086
0.176000	1.173052
0.177000	1.174017
0.178000	1.174982
0.179000	1.175947
0.180000	1.176911
0.181000	1.177875
0.182000	1.178838
0.183000	1.179801
0.184000	1.180764
0.185000	1.181726
0.186000	1.182687
0.187000	1.183648
0.188000	1.184609
0.189000	1.185569
0.190000	1.186529
0.191000	1.187488
0.192000	1.188447
0.193000	1.189406
0.194000	1.190364
0.195000	1.191321
0.196000	1.192278
0.197000	1.193235
0.198000	1.194191
0.199000	1.195146
0.200000	1.196102
0.201000	1.197056
0.202000	1.198010
0.203000	1.198964
0.204000	1.199917
0.205000	1.200870
0.206000	1.201822
0.207000	1.202774
0.208000	1.203725
0.209000	1.204676
0.210000	1.205626
0.211000	1.206576
0.212000	1.207525
0.213000	1.208473
0.214000	1.209421
0.215000	1.210369
0.216000	1.211316
0.217000	1.212263
0.218000	1.213209
0.219000	1.214154
0.220000	1.215099
0.221000	1.216043
0.222000	1.216987
0.223000	1.217930
0.224000	1.218873
0.225000	1.219815
0.226000	1.220757
0.227000	1.221698
0.228000	1.222639
0.229000	1.223579
0.230000	1.224518
0.231000	1.225457
0.232000	1.226395
0.233000	1.227333
0.234000	1.228270
0.235000	1.229206
0.236000	1.230142
0.237000	1.231078
0.238000	1.232012
0.239000	1.232946
0.240000	1.233880
0.241000	1.234813
0.242000	1.235745
0.243000	1.236677
0.244000	1.237608
0.245000	1.238539
0.246000	1.239468
0.247000	1.240398
0.248000	1.241326
0.249000	1.242254
0.250000	1.243182
0.251000	1.244108
0.252000	1.245035
0.253000	1.245960
0.254000	1.246885
0.255000	1.247809
0.256000	1.248733
0.257000	1.249655
0.258000	1.250578
0.259000	1.251499
0.260000	1.252420
0.261000	1.253340
0.262000	1.254260
0.263000	1.255179
0.264000	1.256097
0.265000	1.257015
0.266000	1.257932
0.267000	1.258848
0.268000	1.259763
0.269000	1.260678
0.270000	1.261592
0.271000	1.262506
0.272000	1.263418
0.273000	1.264330
0.274000	1.265242
0.275000	1.266152
0.276000	1.267062
0.277000	1.267972
0.278000	1.268880
0.279000	1.269788
0.280000	1.270695
0.281000	1.271601
0.282000	1.272507
0.283000	1.273411
0.284000	1.274316
0.285000	1.275219
0.286000	1.276121
0.287000	1.277023
0.288000	1.277925
0.289000	1.278825
0.290000	1.279724
0.291000	1.280623
0.292000	1.281521
0.293000	1.282419
0.294000	1.283315
0.295000	1.284211
0.296000	1.285106
0.297000	1.286000
0.298000	1.286894
0.299000	1.287786
0.300000	1.288678
0.301000	1.289569
0.302000	1.290459
0.303000	1.291349
0.304000	1.292237
0.305000	1.293125
0.306000	1.294012
0.307000	1.294899
0.308000	1.295784
0.309000	1.296668
0.310000	1.297552
0.311000	1.298435
0.312000	1.299317
0.313000	1.300198
0.314000	1.301079
0.314999	1.301958
0.315999	1.302837
0.316999	1.303715
0.317999	1.304592
0.318999	1.305468
0.319999	1.306344
0.320999	1.307218
0.321999	1.308092
0.322999	1.308964
0.323999	1.309836
0.324999	1.310707
0.325999	1.311577
0.326999	1.312446
0.327999	1.313315
0.328999	1.314182
0.329999	1.315049
0.330999	1.315914
0.331999	1.316779
0.332999	1.317643
0.333999	1.318506
0.334999	1.319368
0.335999	1.320229
0.336999	1.321089
0.337999	1.321948
0.338999	1.322806
0.339999	1.323664
0.340999	1.324520
0.341999	1.325376
0.342999	1.326230
0.343999	1.327084
0.344999	1.327937
0.345999	1.328788
0.346999	1.329639
0.347999	1.330489
0.348999	1.331338
0.349999	1.332186
0.350999	1.333032
